Unnamed: 0,Modell,Marke,Garantie,country,Zustand,Zylinder,Kraftstoff,Erstzulassung,Außenfarbe,Innenausstattung,Karosserieform,Anzahl Türen,Sitzplätze,Getriebeart,Gänge,Hubraum,Kraftstoff.1,Schadstoffklasse,haendler,privat,price,predicted_price,zscore
11844,V40,Volvo,12 Monate,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0.0,Diesel,2017.0,Schwarz,"Stoff, Schwarz",Sonstige,4.0,5.0,Schaltgetriebe,6.0,1.969 cm³,Diesel,Euro 6,1,0,16900.0,16838.524000000158,0.2903970639465621
13386,V40 Cross Country,Volvo,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0.0,Benzin,2017.0,Silber,"Stoff, Schwarz",Limousine,4.0,5.0,Schaltgetriebe,0.0,1.969 cm³,Benzin,Euro 6,1,0,18490.0,18408.988,0.27844896354245885
14166,V50,Volvo,0,Deutschland,Gebraucht,0.0,Super 95,2006.0,Schwarz,"Teilleder, Schwarz",Kombi,4.0,5.0,Schaltgetriebe,0.0,1.798 cm³,Super 95,Euro 4,1,0,5949.0,5936.786000000038,0.3205254076249402
25045,V60,Volvo,0,Deutschland,Gebraucht,5.0,Diesel,2011.0,Schwarz,0,Kombi,5.0,5.0,Automatik,6.0,2.400 cm³,Diesel,Euro 5,False,True,4999.0,4999.000000000035,0.3279954167534045
16243,V70,Volvo,0,Deutschland,Gebraucht,0.0,Super 95,1999.0,Schwarz,Schwarz,Kombi,4.0,0.0,Schaltgetriebe,5.0,2.435 cm³,Super 95,0,1,0,999.0,2096.220000000003,0.3430577530502818
16535,V90,Volvo,0,Deutschland,Neu,4.0,Diesel (Rußpartikelfilter),0.0,0,0,Kombi,5.0,0.0,Automatik,0.0,1.969 cm³,Diesel (Rußpartikelfilter),0,1,0,83442.0,76226.74133333372,4.084813499617099
13807,V90 Cross Country,Volvo,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,4.0,Diesel,2018.0,Weiß,"Vollleder, Schwarz",SUV/Geländewagen/Pickup,5.0,5.0,Automatik,0.0,1.969 cm³,Diesel,Euro 6,1,0,32972.0,33037.60599999969,0.28787118072242746
17419,XC40,Volvo,12 Monate,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0.0,Diesel,2019.0,Silber,"Vollleder, Schwarz",SUV/Geländewagen/Pickup,5.0,5.0,Automatik,0.0,1.969 cm³,Diesel,Euro 6,1,0,39890.0,39848.327999999645,0.3025090715425305
25811,XC60,Volvo,0,Oesterreich,Gebraucht,0.0,Diesel,2011.0,Schwarz,"Vollleder, Schwarz",SUV/Geländewagen/Pickup,5.0,5.0,Automatik,6.0,2.400 cm³,Diesel,Euro 5,True,False,15900.0,15899.999999999884,0.3279954167533544
10918,XC70,Volvo,0,Deutschland,Gebraucht,0.0,Diesel (Rußpartikelfilter),2007.0,Schwarz,"Vollleder, Schwarz",Kombi,4.0,5.0,Automatik,0.0,2.400 cm³,Diesel (Rußpartikelfilter),Euro 4,1,0,6499.0,6659.760000000086,0.22967556514873266
25960,XC90,Volvo,36 Monate,Oesterreich,Gebraucht,4.0,Diesel,2018.0,Grau,"Vollleder, Schwarz",SUV/Geländewagen/Pickup,5.0,5.0,Automatik,8.0,1.969 cm³,Diesel,Euro 6d-TEMP,True,False,45800.0,45800.000000000284,0.3279954167532521
23818,forFour,smart,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,0.0,Elektro,2018.0,Schwarz,"Stoff, Schwarz",Kleinwagen,5.0,4.0,Automatik,1.0,0,Elektro,0,True,False,15499.0,15610.437611904736,0.25984084182403316
25744,forTwo,smart,0,Deutschland,Tipp:Prüfe das Fahrzeug bei der Besichtigung auf Mängel. Generell gehen wir bei allen Angeboten von einem guten Fahrzeug-Zustand aus.,3.0,Benzin,2013.0,Weiß,0,Coupé,2.0,2.0,Automatik,5.0,999 cm³,Benzin,Euro 5,False,True,7450.0,7449.999999999942,0.32799541675339006
6940,roadster,smart,0,Oesterreich,Gebraucht,3.0,Benzin,2003.0,Schwarz,0,Coupé,2.0,2.0,Automatik,6.0,698 cm³,Benzin,0,0,1,4000.0,4330.365999999995,0.12594555301108779
